@relation au1

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute class {class1,class2}

@data
1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,class2
0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,class1
0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,class2
0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,class2
1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,class2
0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,class1
1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,class2
1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,class2
1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,class2
0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,class2
0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,class1
0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,class2
1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,class2
1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,class2
1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,class2
0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,class2
1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,class2
1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,class2
0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,class2
0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,class2
1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,class2
1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,class2
1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,class2
0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,class2
0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,class2
1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,class1
1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,class2
1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,class2
1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,class2
0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,class2
1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,class2
1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,class2
0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,class2
1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,class2
1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,class2
1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,class2
1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,class2
1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,class1
0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,class1
1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,class2
1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,class1
1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,class2
0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,class2
0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,class2
1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,class2
1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,class2
1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,class1
1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,class2
1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,class2
1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,class1
1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,class2
1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,class1
1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,class2
1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,class1
1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,class2
1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,class2
1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,class2
0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,class1
1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,class2
1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,class2
0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,class2
1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,class2
0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,class2
1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,class2
1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,class2
1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,class1
1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,class1
0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,class2
1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,class2
1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,class1
1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,class2
0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,class2
1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,class2
0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,class2
1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,class2
1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,class2
0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,class2
1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,class1
1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,class1
1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,class2
0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,class2
1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,class1
1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,class2
0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,class1
1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,class2
0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,class1
0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,class2
0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,class2
1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,class2
0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,class2
0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,class2
1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,class1
1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,class2
1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,class2
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,class2
1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,class2
0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,class1
1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,class2
1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,class1
1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,class2
0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,class2
0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,class2
0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,class1
1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,class2
1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,class1
0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,class1
1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,class2
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,class1
1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,class2
1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,class2
0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,class2
1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,class2
1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,class2
0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,class1
